set,set_size,overlap,ratio,pval,genes,padj
C5:GO:BP|GOBP_MULTI_ORGANISM_REPRODUCTIVE_PROCESS,692,91,0.1315028901734104,1.9436786981159386e-13,Abcc8;Acsl4;Adam5;Adamts1;Adcyap1;Adcyap1r1;Adra2a;Amh;Bmpr1b;Cacna1h;Cftr;Ddr1;Dhh;Dnd1;Ereg;Esr1;Fancd2;Fbxw11;Fignl1;Fos;Fosb;Fosl1;Foxc1;Fshr;Fst,7.04972263806651e-10
C5:GO:BP|GOBP_ANIMAL_ORGAN_MORPHOGENESIS,801,99,0.12359550561797752,7.474846979873285e-13,Adamts1;Alpl;Aqp5;Atrnl1;Bcar3;Bmp2;Bmpr1b;Calb1;Ccdc103;Ccl2;Cdsn;Cftr;Col18a1;Csrnp1;Cthrc1;Dab2;Dag1;Ddr1;Dll4;Dsp;Efnb2;Eln;Ereg;Errfi1;Esr1,2.71112699960004e-09
C5:GO:BP|GOBP_REGULATION_OF_SYSTEM_PROCESS,417,64,0.15347721822541965,1.0264784639937214e-12,Abcc8;Adra2a;Adrb2;Apoa1;Apoa4;Atp1b2;Bves;Cacna1h;Cnih2;Dab2;Dag1;Dsc2;Dsp;Ece1;Edn2;Errfi1;Fgf13;Foxo1;Gata4;Gja1;Gls;Gper1;Hbegf;Htr2a;Igfbp5,3.7230373889052274e-09
C5:GO:BP|GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,1299,139,0.10700538876058506,1.0680065276112985e-12,Abcc8;Ackr3;Adra2a;Adrb2;Ajuba;Alox15;Apoa1;Arg2;Arrdc3;Atf3;Aunip;Axin1;Bank1;Bmp2;Bmper;Ccdc88c;Ccl2;Cish;Crim1;Cthrc1;Cx3cr1;Cyp19a1;Dab2;Dact2;Dag1,3.87365967564618e-09
C5:GO:BP|GOBP_REPRODUCTION,1040,118,0.11346153846153846,1.492614126142012e-12,Abcc8;Acsl4;Adam5;Adamts1;Adcyap1;Adcyap1r1;Adgrg1;Adra2a;Akr1c18;Alpl;Amh;Bmpr1b;Cacna1h;Cftr;Cyp19a1;Ddr1;Dhh;Dnd1;Dusp1;Egr1;Eme1;Ereg;Esr1;Fancd2;Fbxw11,5.413711435517078e-09
C5:GO:BP|GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT,848,101,0.11910377358490566,4.1203936084577574e-12,Abcc8;Ackr3;Adamts1;Adgrg1;Adra2a;Ajuba;Amotl2;Atp1b2;Bcar1;Bmp2;Bmper;Camk2a;Ccl2;Ccl24;Ccl7;Cnih2;Cx3cr1;Cxcl10;Cyp19a1;Dab2;Dag1;Dll4;Dsc2;Dsp;Dusp1,1.4944667617876285e-08
C5:GO:BP|GOBP_VASCULATURE_DEVELOPMENT,632,82,0.12974683544303797,6.596235821751569e-12,Abcc8;Ackr3;Adamts1;Adgrf5;Adgrg1;Amotl2;Angptl7;Apold1;Arhgef15;Bmper;C1galt1;Ccl2;Ccl24;Col18a1;Col4a1;Col4a2;Cx3cr1;Cxcl10;Dag1;Ddah1;Dll4;Edn2;Efnb2;Egr1;Epn2,2.392454732549294e-08
C5:GO:BP|GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM,429,63,0.14685314685314685,1.1047058510320046e-11,Ajuba;Bmp2;Ccdc103;Cobl;Col4a1;Cthrc1;Cxcl10;Dab2;Dag1;Ddr1;Dll4;Efnb2;Esr1;Esrp2;Foxf1;Frem2;Fst;Fzd3;Fzd6;Gata4;Gdnf;Gja1;Gpc6;Grem1;Hbegf,4.006768121693081e-08
C5:GO:BP|GOBP_NEUROGENESIS,1291,134,0.10379550735863671,2.5257935246310174e-11,Abcc8;Acsl4;Adcyap1;Adgrg1;Apoa4;Arc;Atp1b2;Bhlhe40;Bmp2;Bmpr1b;Brinp2;Btbd3;Btbd8;Btg2;Camk2a;Camsap1;Ccl2;Cdh4;Cntn4;Cobl;Crmp1;Cspg5;Cthrc1;Ctnnd2;Cx3cr1,9.1610531138367e-08
C5:GO:BP|GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,795,94,0.11823899371069183,3.6366269364342336e-11,Adra2a;Adrb2;Amh;Apoa1;Axin1;Bcar1;Bcar3;Bmp2;Bmp3;Bmper;Bmpr1b;Cdh3;Cnksr1;Col4a1;Col4a2;Crim1;Csrnp1;Dab2;Dact2;Ddr1;Dok6;Efnb2;Egr1;Epn2;Ereg,1.3190045898446966e-07
C5:GO:BP|GOBP_MUSCLE_SYSTEM_PROCESS,337,53,0.1572700296735905,3.732961049531445e-11,Abcc8;Adra2a;Adrb2;Arg2;Cacna1h;Dag1;Dsc2;Dsp;Edn2;Errfi1;Fgf13;Foxo1;Galr2;Gata4;Gdnf;Gja1;Gper1;Htr2a;Igfbp5;Itga2;Kcna5;Kcnb2;Kcne4;Kcnj12;Kcnn2,1.353944972665055e-07
