gene_name,MNGC,Macrophage,Stroma
0610005C13Rik,0.46229624999999996,0.44635274999999996,0.98798025
0610007P14Rik,37.34829475,50.8814535,62.078382
0610009B22Rik,55.856174249999995,34.329791,76.26011700000001
0610009E02Rik,0.80210475,1.4508590000000001,0.924871
0610009L18Rik,28.901213249999998,24.407377500000003,35.62830175
0610009O20Rik,5.2842655,6.07413475,5.2807379999999995
0610010F05Rik,1.07290925,16.96896975,3.5953575
0610010K14Rik,61.392954,103.42138475,80.26931475
0610011F06Rik,61.580284250000005,74.64170275000001,203.1007665
0610012D04Rik,0.0,0.0,0.0
0610012G03Rik,68.0010015,45.598533,42.849866
0610025J13Rik,0.0,1.29229,0.8551645
0610030E20Rik,7.76415675,6.289168,4.9262625
0610031O16Rik,1.09899575,0.0849325,0.30065074999999997
0610037L13Rik,103.81145675,125.878647,113.90144575000001
0610038B21Rik,4.24367475,1.6265632500000002,2.64184425
0610039K10Rik,1.014545,0.98689925,0.88238275
0610040B10Rik,0.954521,2.7920542499999996,11.2688685
0610040F04Rik,0.0,0.03676375,0.0
0610040J01Rik,0.6620247499999999,3.1164435,1.139715
0610043K17Rik,0.4943435,0.43765024999999996,0.61253
1010001B22Rik,4.828740750000001,3.1517415,5.379766999999999
1010001N08Rik,0.49097525,7.1143065000000005,1.7597254999999998
1110001J03Rik,278.42954375,134.351566,617.37598275
1110002E22Rik,0.00783025,1.87230825,0.03268525
1110002J07Rik,0.0680685,0.17380400000000001,0.00502075
1110002L01Rik,2.61909975,1.02275775,2.94442175
1110002O04Rik,0.0,0.40738875,0.0
1110004E09Rik,23.085182250000003,48.5789435,48.33215875
1110004F10Rik,81.26659925,123.58711500000001,96.3609225
1110007C09Rik,200.2355,140.07627075,114.495282
1110008E08Rik,0.0,0.0,0.0
1110008F13Rik,123.05038775,275.37352075,227.7420955
1110008L16Rik,5.6164285,9.7781835,10.82273225
1110008P14Rik,227.57147925,76.31794575,161.11206249999998
1110012L19Rik,23.0140275,17.20309375,28.84615825
1110015O18Rik,0.0,0.0,0.0
1110017D15Rik,0.0,0.35764825,0.2721505
1110018N20Rik,1.35904575,0.9770505,0.9406975
1110019D14Rik,4.06219825,3.17460625,9.702009
1110020A21Rik,0.95689625,1.2044845,1.12364875
1110025L11Rik,0.0,0.0,0.0
1110025M09Rik,1.50353925,0.544929,2.1740007500000003
1110028F11Rik,0.0,0.16436975,0.0
1110028F18Rik,0.02669325,0.00772775,0.00469925
1110032A03Rik,30.263919,19.43575975,38.41530425
1110032F04Rik,0.60344,7.012884499999999,1.54229825
1110034G24Rik,14.82701275,12.391019,20.24834175
1110035H17Rik,0.77716025,2.48759875,2.21882325
1110036E04Rik,0.0,0.0649175,0.0
1110037F02Rik,3.2019005,10.01993075,3.9981425
1110038B12Rik,30.14344475,20.7576735,24.15435325
1110038F14Rik,55.92853675,80.03837925,76.36839125
1110046J04Rik,6.1344994999999995,4.22669825,10.026539
1110051M20Rik,26.827951249999998,31.193257,44.8718485
1110057P08Rik,0.0,0.0,0.0
1110059E24Rik,14.49111,14.76042825,23.1705945
1110059G10Rik,18.36742225,12.1593085,29.63144175
1110065P20Rik,64.776142,83.136968,125.58350475
1190002F15Rik,24.51064675,21.76648175,129.48842725
1190002N15Rik,5.680665749999999,85.23067825,19.12648925
1190003K10Rik,0.0,0.0,0.0
1190005I06Rik,18.483866,4.4494165,11.74374775
1190007I07Rik,31.96766975,27.14304225,68.02202224999999
1200007C13Rik,0.00641825,1.59798425,0.0093695
1200014J11Rik,1.81035875,3.955674,2.450951
1300002E11Rik,31.194826499999998,23.1171985,32.983679
1300017J02Rik,1.787889,0.62436525,1.8661097500000001
1500002C15Rik,2.08525025,1.7040392500000001,2.4348597499999998
1500002F19Rik,0.33769649999999996,0.91894,0.63393875
1500004A13Rik,2.6666067499999997,3.21595875,2.7758805
1500009C09Rik,0.0,0.0,0.0
1500009L16Rik,12.341894,8.889672749999999,29.9999955
1500011B03Rik,18.5002415,24.099303,45.91983975
1500011K16Rik,93.21960525,49.602225250000004,120.36204625
1500012F01Rik,80.35433025,52.05285,89.76079125
1500012K07Rik,0.02052025,0.0,0.04226325
1500015A07Rik,3.2250457499999996,1.3640192500000001,6.342552
1500015L24Rik,0.0,0.0,0.0
1500015O10Rik,2.8356515,1.46611475,4.45998375
1500017E21Rik,0.9292772499999999,0.5290079999999999,1.091237
1500026H17Rik,0.45907425,0.326597,0.26955575
1500035N22Rik,0.0,0.06688575,0.0
1520401A03Rik,1.516918,0.34116850000000004,0.0
1600002D24Rik,0.0,0.08600425,0.0208925
1600002H07Rik,6.16799325,3.05140075,5.9968985
1600002K03Rik,34.8583365,13.5529435,22.37920675
1600010M07Rik,7.77092575,3.8337795000000003,3.6180044999999996
1600012H06Rik,22.97639975,31.715583,22.87704
1600012P17Rik,0.0,0.0,0.0
1600014C10Rik,13.7666375,18.1733155,16.913878750000002
1600014C23Rik,0.0,0.0,0.0
1600014K23Rik,0.0,0.0,0.0
1600015I10Rik,0.0,0.0,0.1229305
1600017P15Rik,0.0,0.03328275,0.3953335
1600019K03Rik,0.0,0.0,0.0
1600020E01Rik,34.0667165,18.0179955,24.60698525
1600025M17Rik,0.03173975,0.06256175,0.18206575
1600029O15Rik,0.43232075,0.178764,0.32403150000000003
1700001C02Rik,0.0,0.0,0.0
1700001C19Rik,0.0,0.57886925,0.0137015
1700001D01Rik,0.0,0.0,0.0
1700001F09Rik,0.0,0.0,0.0
1700001G01Rik,0.0,0.0,0.0
1700001G11Rik,1.7294304999999999,1.10014975,8.6556445
1700001G17Rik,0.0,1.4482755,0.38837425
1700001J03Rik,1.703005,0.06229725,0.19646950000000002
1700001J04Rik,0.0,0.0,0.0
